Quarter,Time,Tm,Detail,LAR,NWE
1.0,5:05,Patriots,Kendrick Bourne 9 yard pass from Drake Maye (Joey Slye kick),0,7
2.0,7:18,Rams,Cooper Kupp 5 yard pass from Matthew Stafford (Joshua Karty kick),7,7
,5:45,Rams,Puka Nacua 12 yard pass from Matthew Stafford (Joshua Karty kick),14,7
,1:52,Patriots,Joey Slye 32 yard field goal,14,10
3.0,14:10,Rams,Cooper Kupp 69 yard pass from Matthew Stafford (Joshua Karty kick),21,10
,7:02,Patriots,Joey Slye 25 yard field goal,21,13
,3:30,Rams,Colby Parkinson 19 yard pass from Matthew Stafford (Joshua Karty kick),28,13
4.0,12:45,Patriots,Vederian Lowe 4 yard pass from Drake Maye (Joey Slye kick failed),28,19
,4:54,Patriots,Joey Slye 42 yard field goal,28,22
