Quarter,Time,Tm,Detail,TEN,LAC
1.0,8:08,Chargers,Cameron Dicker 21 yard field goal,0,3
,4:25,Titans,Calvin Ridley 41 yard pass from Will Levis (Nick Folk kick),7,3
2.0,12:07,Chargers,Cameron Dicker 37 yard field goal,7,6
,1:55,Chargers,Justin Herbert 4 yard rush (Cameron Dicker kick),7,13
3.0,7:51,Titans,Nick Folk 27 yard field goal,10,13
,3:24,Chargers,Quentin Johnston 16 yard pass from Justin Herbert (Cameron Dicker kick),10,20
4.0,7:39,Chargers,Hassan Haskins 1 yard rush (Cameron Dicker kick),10,27
,0:49,Titans,Calvin Ridley 15 yard pass from Will Levis (Nick Folk kick),17,27
