Quarter,Time,Tm,Detail,MIA,GNB
1.0,12:00,Packers,Jayden Reed 3 yard pass from Jordan Love (Brandon McManus kick),0,7
,0:55,Packers,Josh Jacobs 1 yard rush (Brandon McManus kick),0,14
2.0,8:44,Dolphins,Jason Sanders 33 yard field goal,3,14
,1:36,Packers,Jayden Reed 12 yard pass from Jordan Love (Brandon McManus kick),3,21
,0:00,Packers,Brandon McManus 46 yard field goal,3,24
3.0,7:42,Packers,Brandon McManus 24 yard field goal,3,27
,2:43,Dolphins,De'Von Achane 14 yard pass from Tua Tagovailoa (Jaylen Waddle pass from Tua Tagovailoa),11,27
4.0,5:02,Packers,Brandon McManus 33 yard field goal,11,30
,3:04,Dolphins,Tyreek Hill 12 yard pass from Tua Tagovailoa (pass failed),17,30
