Quarter,Time,Tm,Detail,NWE,CIN
2.0,14:58,Patriots,Rhamondre Stevenson 3 yard rush (Joey Slye kick),7,0
,0:00,Patriots,Joey Slye 32 yard field goal,10,0
3.0,11:34,Patriots,Joey Slye 35 yard field goal,13,0
,1:10,Bengals,Zack Moss 5 yard rush (Evan McPherson kick),13,7
4.0,8:46,Patriots,Joey Slye 37 yard field goal,16,7
,6:14,Bengals,Evan McPherson 51 yard field goal,16,10
