Quarter,Time,Tm,Detail,MIA,HOU
1.0,7:09,Texans,Ka'imi Fairbairn 44 yard field goal,0,3
2.0,11:35,Dolphins,Jason Sanders 55 yard field goal,3,3
,6:45,Texans,Nico Collins 6 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),3,10
,1:57,Dolphins,Jason Sanders 36 yard field goal,6,10
,0:00,Texans,Ka'imi Fairbairn 23 yard field goal,6,13
3.0,11:02,Texans,Nico Collins 6 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),6,20
,4:30,Dolphins,Jonnu Smith 7 yard pass from Tua Tagovailoa (Jason Sanders kick failed),12,20
