Quarter,Time,Tm,Detail,MIN,GNB
1.0,11:53,Vikings,Jordan Addison 29 yard pass from Sam Darnold (Will Reichard kick),7,0
,1:37,Vikings,Josh Oliver 2 yard pass from Sam Darnold (Will Reichard kick),14,0
2.0,11:50,Vikings,Jordan Addison 7 yard rush (Will Reichard kick),21,0
,5:28,Vikings,Justin Jefferson 14 yard pass from Sam Darnold (Will Reichard kick),28,0
,0:15,Packers,Jayden Reed 15 yard pass from Jordan Love (Brayden Narveson kick),28,7
4.0,11:38,Packers,Dontayvion Wicks 6 yard pass from Jordan Love (Brayden Narveson kick),28,14
,10:16,Packers,Tucker Kraft 13 yard pass from Jordan Love (Tucker Kraft pass from Jordan Love),28,22
,6:50,Vikings,Will Reichard 33 yard field goal,31,22
,0:56,Packers,Dontayvion Wicks 17 yard pass from Jordan Love (Brayden Narveson kick),31,29
