Quarter,Time,Tm,Detail,HOU,MIN
1.0,12:03,Vikings,Justin Jefferson 6 yard pass from Sam Darnold (Will Reichard kick),0,7
,1:08,Vikings,Aaron Jones 8 yard pass from Sam Darnold (Will Reichard kick),0,14
3.0,10:22,Vikings,Jalen Nailor 4 yard pass from Sam Darnold (Will Reichard kick),0,21
,3:56,Texans,Cam Akers 8 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),7,21
4.0,14:53,Vikings,Will Reichard 35 yard field goal,7,24
,10:14,Vikings,Johnny Mundt 2 yard pass from Sam Darnold (Will Reichard kick),7,31
,4:43,Vikings,Will Reichard 58 yard field goal,7,34
