Quarter,Time,Tm,Detail,LVR,NOR
1.0,5:49,Raiders,Daniel Carlson 31 yard field goal,3,0
2.0,14:52,Saints,Foster Moreau 30 yard pass from Spencer Rattler (Blake Grupe kick),3,7
,10:19,Raiders,Daniel Carlson 39 yard field goal,6,7
,0:57,Raiders,Jakobi Meyers 3 yard pass from Aidan O'Connell (Daniel Carlson kick),13,7
,0:00,Saints,Blake Grupe 34 yard field goal,13,10
3.0,7:57,Raiders,Daniel Carlson 54 yard field goal,16,10
4.0,14:14,Raiders,Daniel Carlson 25 yard field goal,19,10
,8:20,Raiders,Tre Tucker 18 yard pass from Aidan O'Connell (Daniel Carlson kick failed),25,10
